extra,wasted,rework,Add_Method_Annotation,Rename_Method,Replace_Variable_With_Attribute,Rename_Class,Remove_Class_Annotation,Add_Class_Annotation,Remove_Method_Annotation,Move_And_Rename_Method,Change_Package,Move_Class,Add_Thrown_Exception_Type,Move_Method,Change_Parameter_Type,Change_Attribute_Type,Change_Variable_Type,Rename_Parameter,Inline_Method,Move_And_Rename_Class,Change_Method_Access_Modifier,Remove_Parameter,Change_Return_Type,Extract_Class,Move_Attribute,Extract_Subclass,Push_Down_Method,Move_And_Inline_Method,Rename_Attribute,Rename_Variable,Extract_Method,Inline_Variable,Modify_Method_Annotation,Extract_Superclass,Extract_Interface,Add_Parameter,Parameterize_Variable,Extract_Variable,Extract_Attribute,Extract_And_Move_Method,Change_Thrown_Exception_Type,Remove_Thrown_Exception_Type,Modify_Class_Annotation,Change_Attribute_Access_Modifier,Pull_Up_Attribute,Pull_Up_Method,Add_Attribute_Annotation,Merge_Variable,Move_Source_Folder,Merge_Parameter,Remove_Attribute_Annotation,Push_Down_Attribute,Modify_Attribute_Annotation,Modify_Parameter_Annotation,Remove_Parameter_Annotation,Add_Parameter_Annotation,Merge_Attribute,Split_Attribute,Replace_Attribute,Reorder_Parameter,Remove_Variable_Annotation,Add_Variable_Annotation,Move_And_Rename_Attribute,Split_Parameter,Split_Variable,Modify_Variable_Annotation,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
0,5,4,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,23,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,1,10,0,4,0,1,1,3,0,0,0,0,2,0,70,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,112,0,112
221,154558,153123,0,9,0,2,0,2,0,0,1,10,0,4,0,1,1,3,0,0,0,0,2,0,70,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,7,118,3,115
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,6,1
0,1180,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
